Product Code,Bom Level 1,Bom Level 2,Ingredient UOM,Ingredient Quantity
PV1,GIG-0115,GIG-0115,PCS,1
PV1,GPK-0008,GPK-0008,PCS,1
PV1,GPK-0022,GPK-0022,PCS,1
PV1,GPK-0025,GPK-0025,PCS,1
PV1,GPK-0034,GPK-0034,PCS,1
PV1,GPK-0038,GPK-0038,PCS,1
PV1,GPK-0052,GPK-0052,PCS,1
PV1,GPK-0054,GPK-0054,PCS,1
PV1,GPK-0057,GPK-0057,PCS,1
PV1,GPK-0294,GPK-0294,PCS,1
PV1,GIG-0111,GIG-0111,GM,14
PV2,GIG-0115,GIG-0115,PCS,1
PV2,GPK-0008,GPK-0008,PCS,1
PV2,GPK-0022,GPK-0022,PCS,1
PV2,GPK-0025,GPK-0025,PCS,1
PV2,GPK-0034,GPK-0034,PCS,1
PV2,GPK-0038,GPK-0038,PCS,1
PV2,GPK-0052,GPK-0052,PCS,1
PV2,GPK-0054,GPK-0054,PCS,1
PV2,GPK-0057,GPK-0057,PCS,1
PV2,GPK-0294,GPK-0294,PCS,1
PV2,GIG-0110,GIG-0110,GM,14
PV3,GIG-0115,GIG-0115,PCS,1
PV3,GPK-0008,GPK-0008,PCS,1
PV3,GPK-0022,GPK-0022,PCS,1
PV3,GPK-0025,GPK-0025,PCS,1
PV3,GPK-0034,GPK-0034,PCS,1
PV3,GPK-0039,GPK-0039,PCS,1
PV3,GPK-0052,GPK-0052,PCS,1
PV3,GPK-0054,GPK-0054,PCS,1
PV3,GPK-0057,GPK-0057,PCS,1
PV3,GPK-0294,GPK-0294,PCS,1
PV3,GIG-0056,GIG-0056,GM,14
PV4,GIG-0115,GIG-0115,PCS,1
PV4,GPK-0008,GPK-0008,PCS,1
PV4,GPK-0022,GPK-0022,PCS,1
PV4,GPK-0025,GPK-0025,PCS,1
PV4,GPK-0034,GPK-0034,PCS,1
PV4,GPK-0039,GPK-0039,PCS,1
PV4,GPK-0052,GPK-0052,PCS,1
PV4,GPK-0054,GPK-0054,PCS,1
PV4,GPK-0057,GPK-0057,PCS,1
PV4,GPK-0294,GPK-0294,PCS,1
PV4,GIG-0057,GIG-0057,GM,14
PV5,GIG-0115,GIG-0115,PCS,1
PV5,GPK-0008,GPK-0008,PCS,1
PV5,GPK-0022,GPK-0022,PCS,1
PV5,GPK-0025,GPK-0025,PCS,1
PV5,GPK-0034,GPK-0034,PCS,1
PV5,GPK-0038,GPK-0038,PCS,1
PV5,GPK-0052,GPK-0052,PCS,1
PV5,GPK-0054,GPK-0054,PCS,1
PV5,GPK-0057,GPK-0057,PCS,1
PV5,GPK-0294,GPK-0294,PCS,1
PV5,GIG-0111,GIG-0111,GM,14
PV6,GIG-0115,GIG-0115,PCS,1
PV6,GPK-0008,GPK-0008,PCS,1
PV6,GPK-0022,GPK-0022,PCS,1
PV6,GPK-0025,GPK-0025,PCS,1
PV6,GPK-0034,GPK-0034,PCS,1
PV6,GPK-0038,GPK-0038,PCS,1
PV6,GPK-0052,GPK-0052,PCS,1
PV6,GPK-0054,GPK-0054,PCS,1
PV6,GPK-0057,GPK-0057,PCS,1
PV6,GPK-0294,GPK-0294,PCS,1
PV6,GIG-0110,GIG-0110,GM,14
PV7,GIG-0115,GIG-0115,PCS,1
PV7,GPK-0022,GPK-0022,PCS,1
PV7,GPK-0025,GPK-0025,PCS,1
PV7,GPK-0034,GPK-0034,PCS,1
PV7,GPK-0041,GPK-0041,PCS,1
PV7,GPK-0056,GPK-0056,PCS,1
PV7,GPK-0057,GPK-0057,PCS,1
PV7,GPK-0094,GPK-0094,PCS,1
PV7,GPK-0294,GPK-0294,PCS,1
PV7,GIG-0111,GIG-0111,GM,14
PV8,GIG-0115,GIG-0115,PCS,1
PV8,GPK-0022,GPK-0022,PCS,1
PV8,GPK-0025,GPK-0025,PCS,1
PV8,GPK-0034,GPK-0034,PCS,1
PV8,GPK-0041,GPK-0041,PCS,1
PV8,GPK-0056,GPK-0056,PCS,1
PV8,GPK-0057,GPK-0057,PCS,1
PV8,GPK-0094,GPK-0094,PCS,1
PV8,GPK-0294,GPK-0294,PCS,1
PV8,GIG-0110,GIG-0110,GM,14
PV9,GIG-0115,GIG-0115,PCS,1
PV9,GPK-0008,GPK-0008,PCS,1
PV9,GPK-0022,GPK-0022,PCS,1
PV9,GPK-0025,GPK-0025,PCS,1
PV9,GPK-0034,GPK-0034,PCS,1
PV9,GPK-0039,GPK-0039,PCS,1
PV9,GPK-0052,GPK-0052,PCS,1
PV9,GPK-0054,GPK-0054,PCS,1
PV9,GPK-0057,GPK-0057,PCS,1
PV9,GPK-0294,GPK-0294,PCS,1
PV9,GIG-0056,GIG-0056,GM,14
PV10,GIG-0115,GIG-0115,PCS,1
PV10,GPK-0008,GPK-0008,PCS,1
PV10,GPK-0022,GPK-0022,PCS,1
PV10,GPK-0025,GPK-0025,PCS,1
PV10,GPK-0034,GPK-0034,PCS,1
PV10,GPK-0039,GPK-0039,PCS,1
PV10,GPK-0052,GPK-0052,PCS,1
PV10,GPK-0054,GPK-0054,PCS,1
PV10,GPK-0057,GPK-0057,PCS,1
PV10,GPK-0294,GPK-0294,PCS,1
PV10,GIG-0057,GIG-0057,GM,14
PV11,GIG-0115,GIG-0115,PCS,1
PV11,GPK-0022,GPK-0022,PCS,1
PV11,GPK-0025,GPK-0025,PCS,1
PV11,GPK-0034,GPK-0034,PCS,1
PV11,GPK-0039,GPK-0039,PCS,1
PV11,GPK-0041,GPK-0041,PCS,1
PV11,GPK-0056,GPK-0056,PCS,1
PV11,GPK-0057,GPK-0057,PCS,1
PV11,GPK-0094,GPK-0094,PCS,1
PV11,GPK-0294,GPK-0294,PCS,1
PV11,GIG-0056,GIG-0056,GM,14
PV12,GIG-0115,GIG-0115,PCS,1
PV12,GPK-0022,GPK-0022,PCS,1
PV12,GPK-0025,GPK-0025,PCS,1
PV12,GPK-0034,GPK-0034,PCS,1
PV12,GPK-0039,GPK-0039,PCS,1
PV12,GPK-0041,GPK-0041,PCS,1
PV12,GPK-0056,GPK-0056,PCS,1
PV12,GPK-0057,GPK-0057,PCS,1
PV12,GPK-0094,GPK-0094,PCS,1
PV12,GPK-0294,GPK-0294,PCS,1
PV12,GIG-0057,GIG-0057,GM,14
PV13,GIG-0115,GIG-0115,PCS,1
PV13,GPK-0008,GPK-0008,PCS,1
PV13,GPK-0022,GPK-0022,PCS,1
PV13,GPK-0025,GPK-0025,PCS,1
PV13,GPK-0034,GPK-0034,PCS,1
PV13,GPK-0052,GPK-0052,PCS,1
PV13,GPK-0054,GPK-0054,PCS,1
PV13,GPK-0057,GPK-0057,PCS,1
PV13,GPK-0294,GPK-0294,PCS,1
PV13,GIG-0111,GIG-0111,GM,14
PV13,GIG-0017,GIG-0017,ML,162
PV14,GIG-0115,GIG-0115,PCS,1
PV14,GPK-0008,GPK-0008,PCS,1
PV14,GPK-0022,GPK-0022,PCS,1
PV14,GPK-0025,GPK-0025,PCS,1
PV14,GPK-0034,GPK-0034,PCS,1
PV14,GPK-0052,GPK-0052,PCS,1
PV14,GPK-0054,GPK-0054,PCS,1
PV14,GPK-0057,GPK-0057,PCS,1
PV14,GPK-0294,GPK-0294,PCS,1
PV14,GIG-0111,GIG-0111,GM,14
PV14,GIG-0033,GIG-0033,ML,162
PV15,GIG-0115,GIG-0115,PCS,1
PV15,GPK-0008,GPK-0008,PCS,1
PV15,GPK-0022,GPK-0022,PCS,1
PV15,GPK-0025,GPK-0025,PCS,1
PV15,GPK-0034,GPK-0034,PCS,1
PV15,GPK-0052,GPK-0052,PCS,1
PV15,GPK-0054,GPK-0054,PCS,1
PV15,GPK-0057,GPK-0057,PCS,1
PV15,GPK-0294,GPK-0294,PCS,1
PV15,GIG-0111,GIG-0111,GM,14
PV15,GIG-0032,GIG-0032,ML,162
PV16,GIG-0115,GIG-0115,PCS,1
PV16,GPK-0008,GPK-0008,PCS,1
PV16,GPK-0022,GPK-0022,PCS,1
PV16,GPK-0025,GPK-0025,PCS,1
PV16,GPK-0034,GPK-0034,PCS,1
PV16,GPK-0052,GPK-0052,PCS,1
PV16,GPK-0054,GPK-0054,PCS,1
PV16,GPK-0057,GPK-0057,PCS,1
PV16,GPK-0294,GPK-0294,PCS,1
PV440,GIG-0111,GIG-0111,GM,14
PV440,GIG-0017,GIG-0017,ML,162
PV441,GIG-0110,GIG-0110,GM,14
PV441,GIG-0017,GIG-0017,ML,162
PV442,GIG-0056,GIG-0056,GM,14
PV442,GIG-0017,GIG-0017,ML,162
PV443,GIG-0057,GIG-0057,GM,14
PV443,GIG-0017,GIG-0017,ML,162
PV654,GIG-0004,GIG-0004,ML,15
PV654,GIG-0019,GIG-0019,GM,3
PV654,GIG-0115,GIG-0115,PCS,1
PV654,GPK-0022,GPK-0022,PCS,1
PV654,GPK-0025,GPK-0025,PCS,1
PV654,GPK-0034,GPK-0034,PCS,1
PV654,GPK-0041,GPK-0041,PCS,1
PV654,GPK-0056,GPK-0056,PCS,1
PV654,GPK-0057,GPK-0057,PCS,1
PV654,GPK-0094,GPK-0094,PCS,1
PV654,GPK-0294,GPK-0294,PCS,1
PV654,GIG-0110,GIG-0110,GM,14
PV655,GIG-0002,GIG-0002,GM,18
PV655,GIG-0029,GIG-0029,GM,1
PV655,GIG-0115,GIG-0115,PCS,1
PV655,GPK-0022,GPK-0022,PCS,1
PV655,GPK-0025,GPK-0025,PCS,1
PV655,GPK-0034,GPK-0034,PCS,1
PV655,GPK-0041,GPK-0041,PCS,1
PV655,GPK-0056,GPK-0056,PCS,1
PV655,GPK-0057,GPK-0057,PCS,1
PV655,GPK-0094,GPK-0094,PCS,1
PV655,GPK-0294,GPK-0294,PCS,1
PV655,PRM0030,GIG-0116,GM,367
PV655,GIG-0111,GIG-0111,GM,14
PV656,GIG-0004,GIG-0004,ML,15
PV656,GIG-0019,GIG-0019,GM,3
PV656,GIG-0029,GIG-0029,GM,1
PV656,GIG-0115,GIG-0115,PCS,1
PV656,GPK-0022,GPK-0022,PCS,1
PV656,GPK-0025,GPK-0025,PCS,1
PV656,GPK-0034,GPK-0034,PCS,1
PV656,GPK-0041,GPK-0041,PCS,1
PV656,GPK-0056,GPK-0056,PCS,1
PV656,GPK-0057,GPK-0057,PCS,1
PV656,GPK-0094,GPK-0094,PCS,1
PV656,GPK-0294,GPK-0294,PCS,1
PV656,GIG-0110,GIG-0110,GM,14
PV657,GIG-0002,GIG-0002,ML,23
PV657,GIG-0031,GIG-0031,GM,3
PV657,GIG-0045,GIG-0045,ML,37
PV657,GIG-0115,GIG-0115,PCS,1
PV657,GPK-0008,GPK-0008,PCS,1
PV657,GPK-0022,GPK-0022,PCS,1
PV657,GPK-0025,GPK-0025,PCS,1
PV657,GPK-0034,GPK-0034,PCS,1
PV657,GPK-0052,GPK-0052,PCS,1
PV657,GPK-0054,GPK-0054,PCS,1
PV657,GPK-0057,GPK-0057,PCS,1
PV657,GPK-0294,GPK-0294,PCS,1
PV657,PRM0030,GIG-0116,GM,367
PV658,GIG-0115,GIG-0115,PCS,1
PV658,GPK-0008,GPK-0008,PCS,1
PV658,GPK-0022,GPK-0022,PCS,1
PV658,GPK-0025,GPK-0025,PCS,1
PV658,GPK-0034,GPK-0034,PCS,1
PV658,GPK-0052,GPK-0052,PCS,1
PV658,GPK-0054,GPK-0054,PCS,1
PV658,GPK-0057,GPK-0057,PCS,1
PV658,GPK-0294,GPK-0294,PCS,1
PV658,GIG-0110,GIG-0110,GM,14
PV661,GIG-0115,GIG-0115,PCS,1
PV661,GPK-0022,GPK-0022,PCS,1
PV661,GPK-0025,GPK-0025,PCS,1
PV661,GPK-0034,GPK-0034,PCS,1
PV661,GPK-0041,GPK-0041,PCS,1
PV661,GPK-0056,GPK-0056,PCS,1
PV661,GPK-0057,GPK-0057,PCS,1
PV661,GPK-0094,GPK-0094,PCS,1
PV661,GPK-0294,GPK-0294,PCS,1
PV661,GIG-0110,GIG-0110,GM,14
PV662,GIG-0004,GIG-0004,ML,8
PV662,GIG-0019,GIG-0019,GM,3
PV662,GIG-0115,GIG-0115,PCS,1
PV662,GPK-0008,GPK-0008,PCS,1
PV662,GPK-0022,GPK-0022,PCS,1
PV662,GPK-0025,GPK-0025,PCS,1
PV662,GPK-0034,GPK-0034,PCS,1
PV662,GPK-0052,GPK-0052,PCS,1
PV662,GPK-0054,GPK-0054,PCS,1
PV662,GPK-0057,GPK-0057,PCS,1
PV662,GPK-0294,GPK-0294,PCS,1
PV662,GIG-0110,GIG-0110,GM,14
PV663,GIG-0002,GIG-0002,ML,30
PV663,GIG-0115,GIG-0115,PCS,1
PV663,GPK-0008,GPK-0008,PCS,1
PV663,GPK-0022,GPK-0022,PCS,1
PV663,GPK-0025,GPK-0025,PCS,1
PV663,GPK-0034,GPK-0034,PCS,1
PV663,GPK-0041,GPK-0041,PCS,1
PV663,GPK-0052,GPK-0052,PCS,1
PV663,GPK-0054,GPK-0054,PCS,1
PV663,GPK-0056,GPK-0056,PCS,1
PV663,GPK-0057,GPK-0057,PCS,1
PV663,GPK-0094,GPK-0094,PCS,1
PV663,GPK-0294,GPK-0294,PCS,1
PV664,GIG-0002,GIG-0002,ML,12
PV664,GIG-0022,GIG-0022,ML,8
PV664,GIG-0031,GIG-0031,ML,4
PV664,GIG-0045,GIG-0045,ML,4
PV664,GIG-0047,GIG-0047,ML,8
PV664,GIG-0115,GIG-0115,PCS,1
PV664,GPK-0008,GPK-0008,PCS,1
PV664,GPK-0022,GPK-0022,PCS,1
PV664,GPK-0025,GPK-0025,PCS,1
PV664,GPK-0034,GPK-0034,PCS,1
PV664,GPK-0052,GPK-0052,PCS,1
PV664,GPK-0054,GPK-0054,PCS,1
PV664,GPK-0057,GPK-0057,PCS,1
PV664,GPK-0294,GPK-0294,PCS,1
PV664,PRM0030,GIG-0116,GM,367
PV664,GIG-0111,GIG-0111,GM,14
PV674,GIG-0002,GIG-0002,ML,12
PV674,GIG-0022,GIG-0022,ML,8
PV674,GIG-0031,GIG-0031,ML,4
PV674,GIG-0045,GIG-0045,ML,4
PV674,GIG-0047,GIG-0047,ML,8
PV674,GIG-0115,GIG-0115,PCS,1
PV674,GPK-0008,GPK-0008,PCS,1
PV674,GPK-0022,GPK-0022,PCS,1
PV674,GPK-0025,GPK-0025,PCS,1
PV674,GPK-0034,GPK-0034,PCS,1
PV674,GPK-0052,GPK-0052,PCS,1
PV674,GPK-0054,GPK-0054,PCS,1
PV674,GPK-0057,GPK-0057,PCS,1
PV674,GPK-0294,GPK-0294,PCS,1
PV674,PRM0030,GIG-0116,GM,367
PV674,GIG-0110,GIG-0110,GM,14
PV675,GIG-0002,GIG-0002,ML,23
PV675,GIG-0021,GIG-0021,ML,4
PV675,GIG-0045,GIG-0045,ML,8
PV675,GIG-0047,GIG-0047,ML,8
PV675,GIG-0115,GIG-0115,PCS,1
PV675,GPK-0022,GPK-0022,PCS,1
PV675,GPK-0025,GPK-0025,PCS,1
PV675,GPK-0034,GPK-0034,PCS,1
PV675,GPK-0041,GPK-0041,PCS,1
PV675,GPK-0056,GPK-0056,PCS,1
PV675,GPK-0057,GPK-0057,PCS,1
PV675,GPK-0094,GPK-0094,PCS,1
PV675,GPK-0294,GPK-0294,PCS,1
PV675,PRM0030,GIG-0116,GM,367
PV675,GIG-0111,GIG-0111,GM,14
PV676,GIG-0020,GIG-0020,ML,15
PV676,GIG-0115,GIG-0115,PCS,1
PV676,GPK-0008,GPK-0008,PCS,1
PV676,GPK-0022,GPK-0022,PCS,1
PV676,GPK-0025,GPK-0025,PCS,1
PV676,GPK-0034,GPK-0034,PCS,1
PV676,GPK-0052,GPK-0052,PCS,1
PV676,GPK-0054,GPK-0054,PCS,1
PV676,GPK-0057,GPK-0057,PCS,1
PV676,GPK-0294,GPK-0294,PCS,1
PV676,GIG-0111,GIG-0111,GM,14
PV677,GIG-0020,GIG-0020,ML,15
PV677,GIG-0115,GIG-0115,PCS,1
PV677,GPK-0008,GPK-0008,PCS,1
PV677,GPK-0022,GPK-0022,PCS,1
PV677,GPK-0025,GPK-0025,PCS,1
PV677,GPK-0034,GPK-0034,PCS,1
PV677,GPK-0052,GPK-0052,PCS,1
PV677,GPK-0054,GPK-0054,PCS,1
PV677,GPK-0057,GPK-0057,PCS,1
PV677,GPK-0294,GPK-0294,PCS,1
PV677,GIG-0110,GIG-0110,GM,14
PV678,GIG-0020,GIG-0020,ML,23
PV678,GIG-0115,GIG-0115,PCS,1
PV678,GPK-0022,GPK-0022,PCS,1
PV678,GPK-0025,GPK-0025,PCS,1
PV678,GPK-0034,GPK-0034,PCS,1
PV678,GPK-0041,GPK-0041,PCS,1
PV678,GPK-0056,GPK-0056,PCS,1
PV678,GPK-0057,GPK-0057,PCS,1
PV678,GPK-0094,GPK-0094,PCS,1
PV678,GPK-0294,GPK-0294,PCS,1
PV678,GIG-0111,GIG-0111,GM,14
PV679,GIG-0020,GIG-0020,ML,23
PV679,GIG-0115,GIG-0115,PCS,1
PV679,GPK-0022,GPK-0022,PCS,1
PV679,GPK-0025,GPK-0025,PCS,1
PV679,GPK-0034,GPK-0034,PCS,1
PV679,GPK-0041,GPK-0041,PCS,1
PV679,GPK-0056,GPK-0056,PCS,1
PV679,GPK-0057,GPK-0057,PCS,1
PV679,GPK-0094,GPK-0094,PCS,1
PV679,GPK-0294,GPK-0294,PCS,1
PV679,GIG-0110,GIG-0110,GM,14
PV684,GIG-0002,GIG-0002,ML,34
PV684,GIG-0115,GIG-0115,PCS,1
PV684,GPK-0022,GPK-0022,PCS,1
PV684,GPK-0025,GPK-0025,PCS,1
PV684,GPK-0034,GPK-0034,PCS,1
PV684,GPK-0039,GPK-0039,PCS,1
PV684,GPK-0041,GPK-0041,PCS,1
PV684,GPK-0056,GPK-0056,PCS,1
PV684,GPK-0057,GPK-0057,PCS,1
PV684,GPK-0094,GPK-0094,PCS,1
PV684,GPK-0294,GPK-0294,PCS,1
PV685,GIG-0019,GIG-0019,ML,15
PV685,GIG-0115,GIG-0115,PCS,1
PV685,GPK-0008,GPK-0008,PCS,1
PV685,GPK-0022,GPK-0022,PCS,1
PV685,GPK-0025,GPK-0025,PCS,1
PV685,GPK-0034,GPK-0034,PCS,1
PV685,GPK-0052,GPK-0052,PCS,1
PV685,GPK-0054,GPK-0054,PCS,1
PV685,GPK-0057,GPK-0057,PCS,1
PV685,GPK-0294,GPK-0294,PCS,1
PV685,GIG-0111,GIG-0111,GM,14
PV686,GIG-0019,GIG-0019,ML,15
PV686,GIG-0115,GIG-0115,PCS,1
PV686,GPK-0008,GPK-0008,PCS,1
PV686,GPK-0022,GPK-0022,PCS,1
PV686,GPK-0025,GPK-0025,PCS,1
PV686,GPK-0034,GPK-0034,PCS,1
PV686,GPK-0052,GPK-0052,PCS,1
PV686,GPK-0054,GPK-0054,PCS,1
PV686,GPK-0057,GPK-0057,PCS,1
PV686,GPK-0294,GPK-0294,PCS,1
PV686,GIG-0110,GIG-0110,GM,14
PV687,GIG-0023,GIG-0023,ML,23
PV687,GIG-0115,GIG-0115,PCS,1
PV687,GPK-0022,GPK-0022,PCS,1
PV687,GPK-0025,GPK-0025,PCS,1
PV687,GPK-0034,GPK-0034,PCS,1
PV687,GPK-0041,GPK-0041,PCS,1
PV687,GPK-0056,GPK-0056,PCS,1
PV687,GPK-0057,GPK-0057,PCS,1
PV687,GPK-0094,GPK-0094,PCS,1
PV687,GPK-0294,GPK-0294,PCS,1
PV687,GIG-0111,GIG-0111,GM,14
PV688,GIG-0002,GIG-0002,ML,23
PV688,GIG-0021,GIG-0021,ML,4
PV688,GIG-0045,GIG-0045,ML,8
PV688,GIG-0047,GIG-0047,ML,8
PV688,GIG-0115,GIG-0115,PCS,1
PV688,GPK-0022,GPK-0022,PCS,1
PV688,GPK-0025,GPK-0025,PCS,1
PV688,GPK-0034,GPK-0034,PCS,1
PV688,GPK-0041,GPK-0041,PCS,1
PV688,GPK-0056,GPK-0056,PCS,1
PV688,GPK-0057,GPK-0057,PCS,1
PV688,GPK-0094,GPK-0094,PCS,1
PV688,GPK-0294,GPK-0294,PCS,1
PV688,PRM0030,GIG-0116,GM,367
PV688,GIG-0110,GIG-0110,GM,14
PV689,GIG-0021,GIG-0021,ML,8
PV689,GIG-0022,GIG-0022,ML,15
PV689,GIG-0115,GIG-0115,PCS,1
PV689,GPK-0022,GPK-0022,PCS,1
PV689,GPK-0025,GPK-0025,PCS,1
PV689,GPK-0034,GPK-0034,PCS,1
PV689,GPK-0041,GPK-0041,PCS,1
PV689,GPK-0056,GPK-0056,PCS,1
PV689,GPK-0057,GPK-0057,PCS,1
PV689,GPK-0094,GPK-0094,PCS,1
PV689,GPK-0294,GPK-0294,PCS,1
PV689,GIG-0111,GIG-0111,GM,14
PV690,GIG-0021,GIG-0021,ML,8
PV690,GIG-0022,GIG-0022,ML,15
PV690,GIG-0115,GIG-0115,PCS,1
PV690,GPK-0022,GPK-0022,PCS,1
PV690,GPK-0025,GPK-0025,PCS,1
PV690,GPK-0034,GPK-0034,PCS,1
PV690,GPK-0041,GPK-0041,PCS,1
PV690,GPK-0056,GPK-0056,PCS,1
PV690,GPK-0057,GPK-0057,PCS,1
PV690,GPK-0094,GPK-0094,PCS,1
PV690,GPK-0294,GPK-0294,PCS,1
PV690,GIG-0110,GIG-0110,GM,14
PV691,GIG-0002,GIG-0002,GM,18
PV691,GIG-0029,GIG-0029,GM,1
PV691,GIG-0115,GIG-0115,PCS,1
PV691,GPK-0022,GPK-0022,PCS,1
PV691,GPK-0025,GPK-0025,PCS,1
PV691,GPK-0034,GPK-0034,PCS,1
PV691,GPK-0041,GPK-0041,PCS,1
PV691,GPK-0056,GPK-0056,PCS,1
PV691,GPK-0057,GPK-0057,PCS,1
PV691,GPK-0094,GPK-0094,PCS,1
PV691,GPK-0294,GPK-0294,PCS,1
PV691,PRM0030,GIG-0116,GM,367
PV691,GIG-0110,GIG-0110,GM,14
PV692,GIG-0025,GIG-0025,ML,8
PV692,GIG-0027,GIG-0027,ML,8
PV692,GIG-0115,GIG-0115,PCS,1
PV692,GPK-0008,GPK-0008,PCS,1
PV692,GPK-0022,GPK-0022,PCS,1
PV692,GPK-0025,GPK-0025,PCS,1
PV692,GPK-0034,GPK-0034,PCS,1
PV692,GPK-0052,GPK-0052,PCS,1
PV692,GPK-0054,GPK-0054,PCS,1
PV692,GPK-0057,GPK-0057,PCS,1
PV692,GPK-0294,GPK-0294,PCS,1
PV692,GIG-0111,GIG-0111,GM,14
PV665,GIG-0115,GIG-0115,PCS,1
PV665,GPK-0008,GPK-0008,PCS,1
PV665,GPK-0022,GPK-0022,PCS,1
PV665,GPK-0025,GPK-0025,PCS,1
PV665,GPK-0034,GPK-0034,PCS,1
PV665,GPK-0052,GPK-0052,PCS,1
PV665,GPK-0054,GPK-0054,PCS,1
PV665,GPK-0057,GPK-0057,PCS,1
PV665,GPK-0294,GPK-0294,PCS,1
PV665,GIG-0111,GIG-0111,GM,14
PV666,GIG-0022,GIG-0022,ML,15
PV666,GIG-0026,GIG-0026,ML,8
PV666,GIG-0115,GIG-0115,PCS,1
PV666,GPK-0022,GPK-0022,PCS,1
PV666,GPK-0025,GPK-0025,PCS,1
PV666,GPK-0034,GPK-0034,PCS,1
PV666,GPK-0041,GPK-0041,PCS,1
PV666,GPK-0056,GPK-0056,PCS,1
PV666,GPK-0057,GPK-0057,PCS,1
PV666,GPK-0094,GPK-0094,PCS,1
PV666,GPK-0294,GPK-0294,PCS,1
PV666,GIG-0111,GIG-0111,GM,14
PV667,GIG-0022,GIG-0022,ML,15
PV667,GIG-0026,GIG-0026,ML,8
PV667,GIG-0115,GIG-0115,PCS,1
PV667,GPK-0022,GPK-0022,PCS,1
PV667,GPK-0025,GPK-0025,PCS,1
PV667,GPK-0034,GPK-0034,PCS,1
PV667,GPK-0041,GPK-0041,PCS,1
PV667,GPK-0056,GPK-0056,PCS,1
PV667,GPK-0057,GPK-0057,PCS,1
PV667,GPK-0094,GPK-0094,PCS,1
PV667,GPK-0294,GPK-0294,PCS,1
PV667,GIG-0110,GIG-0110,GM,14
PV668,GIG-0004,GIG-0004,ML,15
PV668,GIG-0019,GIG-0019,GM,3
PV668,GIG-0029,GIG-0029,GM,1
PV668,GIG-0115,GIG-0115,PCS,1
PV668,GPK-0022,GPK-0022,PCS,1
PV668,GPK-0025,GPK-0025,PCS,1
PV668,GPK-0034,GPK-0034,PCS,1
PV668,GPK-0041,GPK-0041,PCS,1
PV668,GPK-0056,GPK-0056,PCS,1
PV668,GPK-0057,GPK-0057,PCS,1
PV668,GPK-0094,GPK-0094,PCS,1
PV668,GPK-0294,GPK-0294,PCS,1
PV668,GIG-0111,GIG-0111,GM,14
PV669,GIG-0019,GIG-0019,ML,23
PV669,GIG-0115,GIG-0115,PCS,1
PV669,GPK-0022,GPK-0022,PCS,1
PV669,GPK-0025,GPK-0025,PCS,1
PV669,GPK-0034,GPK-0034,PCS,1
PV669,GPK-0041,GPK-0041,PCS,1
PV669,GPK-0056,GPK-0056,PCS,1
PV669,GPK-0057,GPK-0057,PCS,1
PV669,GPK-0094,GPK-0094,PCS,1
PV669,GPK-0294,GPK-0294,PCS,1
PV669,GIG-0111,GIG-0111,GM,14
PV670,GIG-0019,GIG-0019,ML,23
PV670,GIG-0115,GIG-0115,PCS,1
PV670,GPK-0022,GPK-0022,PCS,1
PV670,GPK-0025,GPK-0025,PCS,1
PV670,GPK-0034,GPK-0034,PCS,1
PV670,GPK-0041,GPK-0041,PCS,1
PV670,GPK-0056,GPK-0056,PCS,1
PV670,GPK-0057,GPK-0057,PCS,1
PV670,GPK-0094,GPK-0094,PCS,1
PV670,GPK-0294,GPK-0294,PCS,1
PV670,GIG-0110,GIG-0110,GM,14
PV671,GIG-0023,GIG-0023,ML,23
PV671,GIG-0115,GIG-0115,PCS,1
PV671,GPK-0022,GPK-0022,PCS,1
PV671,GPK-0025,GPK-0025,PCS,1
PV671,GPK-0034,GPK-0034,PCS,1
PV671,GPK-0041,GPK-0041,PCS,1
PV671,GPK-0056,GPK-0056,PCS,1
PV671,GPK-0057,GPK-0057,PCS,1
PV671,GPK-0094,GPK-0094,PCS,1
PV671,GPK-0294,GPK-0294,PCS,1
PV671,GIG-0110,GIG-0110,GM,14
PV16,GIG-0110,GIG-0110,GM,14
PV16,GIG-0017,GIG-0017,ML,162
PV17,GIG-0115,GIG-0115,PCS,1
PV17,GPK-0008,GPK-0008,PCS,1
PV17,GPK-0022,GPK-0022,PCS,1
PV17,GPK-0025,GPK-0025,PCS,1
PV17,GPK-0034,GPK-0034,PCS,1
PV17,GPK-0052,GPK-0052,PCS,1
PV17,GPK-0054,GPK-0054,PCS,1
PV17,GPK-0057,GPK-0057,PCS,1
PV17,GPK-0294,GPK-0294,PCS,1
PV17,GIG-0110,GIG-0110,GM,14
PV17,GIG-0033,GIG-0033,ML,162
PV18,GIG-0115,GIG-0115,PCS,1
PV18,GPK-0008,GPK-0008,PCS,1
PV18,GPK-0022,GPK-0022,PCS,1
PV18,GPK-0025,GPK-0025,PCS,1
PV18,GPK-0034,GPK-0034,PCS,1
PV18,GPK-0052,GPK-0052,PCS,1
PV18,GPK-0054,GPK-0054,PCS,1
PV18,GPK-0057,GPK-0057,PCS,1
PV18,GPK-0294,GPK-0294,PCS,1
PV18,GIG-0110,GIG-0110,GM,14
PV18,GIG-0032,GIG-0032,ML,162
PV19,GIG-0115,GIG-0115,PCS,1
PV19,GPK-0022,GPK-0022,PCS,1
PV19,GPK-0025,GPK-0025,PCS,1
PV19,GPK-0034,GPK-0034,PCS,1
PV19,GPK-0041,GPK-0041,PCS,1
PV19,GPK-0056,GPK-0056,PCS,1
PV19,GPK-0057,GPK-0057,PCS,1
PV19,GPK-0094,GPK-0094,PCS,1
